#mH (GeV)     Cross Section (pb)  +QCD scale %    -QCD scale %    +(PDF+αs) %     -(PDF+αs) %  σ(gg→ ZH) (fb)
300.0    0.01239     +3.0    -3.0    +4.5    -4.5    0.6237
305.0    0.01150     +3.0    -3.0    +4.6    -4.6    0.5427
310.0    0.01068     +2.9    -2.9    +4.7    -4.7    0.4721
315.0    0.009930    +2.9    -2.9    +4.7    -4.7    0.4117
320.0    0.009241    +2.8    -2.8    +4.8    -4.8    0.3588
325.0    0.008604    +2.7    -2.7    +4.8    -4.8    0.3137
330.0    0.008017    +2.7    -2.7    +4.9    -4.9    0.2747
335.0    0.007463    +2.7    -2.7    +5.0    -5.0    0.2408
340.0    0.006955    +2.7    -2.7    +5.0    -5.0    0.2123
345.0    0.006473    +2.6    -2.6    +5.0    -5.0    0.1892
350.0    0.006035    +2.6    -2.6    +5.0    -5.0    0.1721
360.0    0.005338    +2.7    -2.7    +5.3    -5.3    0.1466
370.0    0.004734    +2.7    -2.7    +5.4    -5.4    0.1284
380.0    0.004212    +2.8    -2.8    +5.5    -5.5    0.1149
390.0    0.003757    +2.8    -2.8    +5.6    -5.6    0.1048
400.0    0.003357    +2.8    -2.8    +5.5    -5.5    0.0968
