#mH (GeV) 	GammaH (GeV) 	+width % 	-width % 
450	46.8	1.764014042	1.848148894
460	50.8	1.675184782	1.730255786
480	59.1	1.50956618	1.561717822
500	68	1.960871071	2.004248815
520	77.5	2.158734745	2.190225562
540	87.7	2.412469983	2.429019513
550	93	2.534361422	2.550668827
560	98.6	2.654645488	2.677932669
580	110	2.900309981	2.927626734
600	123	3.183525439	3.179602045
620	136	3.462897081	3.48418677
640	150	3.783837733	3.78198538
650	158	3.938992541	3.939610792
660	165	4.10536974	4.122408488
680	182	4.489118474	4.48795867
700	199	4.881053087	4.881487762
720	217	5.333154687	5.32467925
740	237	5.800765707	5.813792391
750	247	6.056466783	6.069059096
760	258	6.328566664	6.325969829
780	280	6.899625186	6.901321236
800	304	7.525339194	7.522949558
820	330	8.194343946	8.201421766
840	357	8.925993428	8.921111359
850	371	9.309230152	9.304996641
860	386	9.710408702	9.705744492
880	416	10.5581234	10.55426299
900	449	11.46873959	11.46700084
920	484	12.4464617	12.4465593
940	521	13.49650193	13.49326273
950	540	14.04844848	14.0450015
960	560	14.61957614	14.61576277
980	602	15.81765678	15.81501588
1000	647	17.09562814	17.09224975
